stage,n_frets,residual_px,method,neck_angle_deg,session_id,event_id,chord_name,onset_s
fit,18,31.52544403076172,needs_click,-10.96110403202124,2026-06-21-0145,2026-06-21-0145::chordstream_aditya_001#0,Am,1.408
fit,30,128.48541259765625,needs_click,3.008118803521903,2026-06-21-0145,2026-06-21-0145::chordstream_aditya_001#1,D,3.6373333333333338
fit,30,51.645965576171875,needs_click,1.984553391164951,2026-06-21-0145,2026-06-21-0145::chordstream_aditya_001#2,Am,6.1022
fit,32,1258.567138671875,needs_click,1.9872485456530384,2026-06-21-0145,2026-06-21-0145::chordstream_aditya_001#3,Dm,8.5021
fit,28,35.13348388671875,needs_click,-8.968911658050587,2026-06-21-0145,2026-06-21-0145::chordstream_aditya_001#4,A,10.9019
fit,30,72.94168090820312,needs_click,2.0243394387446614,2026-06-21-0145,2026-06-21-0145::chordstream_aditya_001#5,C,13.3028
fit,28,91.40689086914062,needs_click,-7.95114192828396,2026-06-21-0145,2026-06-21-0145::chordstream_aditya_001#6,Dm,15.7022
fit,31,41.85026550292969,needs_click,0.0,2026-06-21-0145,2026-06-21-0145::chordstream_aditya_001#7,D,18.1021
fit,32,75.70050048828125,needs_click,2.9937685993115295,2026-06-21-0145,2026-06-21-0145::chordstream_aditya_001#8,G,20.5021
fit,31,107.55467987060547,needs_click,0.0,2026-06-21-0145,2026-06-21-0145::chordstream_aditya_001#9,Em,22.9023
fit,31,33.800559997558594,needs_click,1.0006249412636734,2026-06-21-0145,2026-06-21-0145::chordstream_aditya_001#10,D,25.3021
fit,33,87.042236328125,needs_click,2.002241667430823,2026-06-21-0145,2026-06-21-0145::chordstream_aditya_001#11,Am,27.7023
fit,35,1035.013916015625,needs_click,1.9518212568520923,2026-06-21-0145,2026-06-21-0145::chordstream_aditya_001#12,G,30.1025
fit,31,98.31655883789062,needs_click,3.034162781971993,2026-06-21-0145,2026-06-21-0145::chordstream_aditya_001#13,Em,32.502
fit,33,44.8448486328125,needs_click,0.0,2026-06-21-0145,2026-06-21-0145::chordstream_aditya_001#14,Em,34.902
fit,34,1241.318115234375,needs_click,0.9982115193765111,2026-06-21-0145,2026-06-21-0145::chordstream_aditya_001#15,A,37.3023
fit,34,56.51124572753906,needs_click,1.0139787227852963,2026-06-21-0145,2026-06-21-0145::chordstream_aditya_001#16,A,39.7022
fit,30,47.71658706665039,needs_click,1.9775546841415093,2026-06-21-0145,2026-06-21-0145::chordstream_aditya_001#17,Dm,42.1022
fit,34,81.1771011352539,needs_click,1.483505021728817,2026-06-21-0145,2026-06-21-0145::chordstream_aditya_001#18,Am,44.5025
fit,31,56.40998458862305,needs_click,2.0329722601247937,2026-06-21-0145,2026-06-21-0145::chordstream_aditya_001#19,A,46.9025
fit,33,66.91585540771484,needs_click,1.9739628630550854,2026-06-21-0145,2026-06-21-0145::chordstream_aditya_001#20,Dm,49.3021
fit,31,48.83880615234375,needs_click,0.9940571219420491,2026-06-21-0145,2026-06-21-0145::chordstream_aditya_001#21,A,51.7022
fit,33,1144.8232421875,needs_click,2.018653035044437,2026-06-21-0145,2026-06-21-0145::chordstream_aditya_001#22,Em,54.1023
fit,32,1239.427490234375,needs_click,1.9854585845169197,2026-06-21-0145,2026-06-21-0145::chordstream_aditya_001#23,D,56.502300000000005
fit,27,92.39961242675781,needs_click,-6.943916859017655,2026-06-21-0145,2026-06-21-0145::chordstream_aditya_001#24,Dm,58.9023
fit,30,61.08202362060547,needs_click,0.0,2026-06-21-0145,2026-06-21-0145::chordstream_aditya_001#25,Em,61.3022
fit,33,39.04609298706055,needs_click,0.988470877536507,2026-06-21-0145,2026-06-21-0145::chordstream_aditya_001#26,A,63.7023
fit,31,65.1091079711914,needs_click,-5.015766705884175,2026-06-21-0145,2026-06-21-0145::chordstream_aditya_001#27,D,66.1023
fit,28,49.04658508300781,needs_click,0.0,2026-06-21-0145,2026-06-21-0145::chordstream_aditya_001#28,Em,68.5023
fit,26,1232.485595703125,needs_click,-6.01292262413407,2026-06-21-0145,2026-06-21-0145::chordstream_aditya_001#29,E,70.9022
fit,29,40.9459228515625,needs_click,0.0,2026-06-21-0145,2026-06-21-0145::chordstream_aditya_001#30,Dm,73.30210000000001
